								
Within each row, compare columns (simple effects within rows)								
								
Number of families	1							
Number of comparisons per family	579							
Alpha	0.05							
								
Šídák's multiple comparisons test	Mean Diff.	95.00% CI of diff.	Below threshold?	Summary	Adjusted P Value			
    Group A vs. H16 C/N = 50 80 mM formic acid	-0.4304	-4.910 to 4.049	No	ns	>0.9999			
    Group A vs. Group C	1.462	-3.018 to 5.942	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	1.892	-2.588 to 6.372	No	ns	>0.9999			
								
  Q0K1A5								
    Group A vs. H16 C/N = 50 80 mM formic acid	3.246	-1.234 to 7.726	No	ns	0.9250			
    Group A vs. Group C	1.580	-2.900 to 6.060	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-1.666	-6.146 to 2.813	No	ns	>0.9999			
								
  Q0K1A9								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.967	-2.513 to 6.447	No	ns	>0.9999			
    Group A vs. Group C	3.141	-1.339 to 7.620	No	ns	0.9682			
    H16 C/N = 50 80 mM formic acid vs. Group C	1.174	-3.306 to 5.654	No	ns	>0.9999			
								
  Q0K1H1								
    Group A vs. H16 C/N = 50 80 mM formic acid	-0.7866	-5.267 to 3.693	No	ns	>0.9999			
    Group A vs. Group C	-0.6517	-5.132 to 3.828	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.1349	-4.345 to 4.615	No	ns	>0.9999			
								
  Q0K1V0								
    Group A vs. H16 C/N = 50 80 mM formic acid	-0.3181	-4.798 to 4.162	No	ns	>0.9999			
    Group A vs. Group C	-0.6728	-5.153 to 3.807	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.3547	-4.835 to 4.125	No	ns	>0.9999			
								
  Q0K1V6								
    Group A vs. H16 C/N = 50 80 mM formic acid	3.463	-1.016 to 7.943	No	ns	0.7541			
    Group A vs. Group C	3.177	-1.303 to 7.656	No	ns	0.9563			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.2869	-4.767 to 4.193	No	ns	>0.9999			
								
  Q0K1W3								
    Group A vs. H16 C/N = 50 80 mM formic acid	-1.618	-6.098 to 2.862	No	ns	>0.9999			
    Group A vs. Group C	-3.102	-7.582 to 1.378	No	ns	0.9782			
    H16 C/N = 50 80 mM formic acid vs. Group C	-1.483	-5.963 to 2.997	No	ns	>0.9999			
								
  Q0K274								
    Group A vs. H16 C/N = 50 80 mM formic acid	-0.6200	-5.100 to 3.860	No	ns	>0.9999			
    Group A vs. Group C	-0.5846	-5.064 to 3.895	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	0.03547	-4.444 to 4.515	No	ns	>0.9999			
								
  Q0K275								
    Group A vs. H16 C/N = 50 80 mM formic acid	1.202	-3.278 to 5.682	No	ns	>0.9999			
    Group A vs. Group C	-0.3798	-4.860 to 4.100	No	ns	>0.9999			
    H16 C/N = 50 80 mM formic acid vs. Group C	-1.582	-6.062 to 2.898	No	ns	>0.9999			
								
  Q0K2D2								
    Group A vs. H16 C/N = 50 80 mM formic acid	-2.953	-7.433 to 1.527	No	ns	0.9964			
    Group A vs. Group C	-3.560	-8.040 to 0.9194	No	ns	0.6519			
    H16 C/N = 50 80 mM formic acid vs. Group C	-0.6071	-5.087 to 3.873	No	ns	>0.9999			
								
  Q0K2E5								
    Group A vs. H16 C/N = 50 80 mM formic acid	0.2323	-4.248 to 4.712	No	ns	>0.9999			
