								
Within each row, compare columns (simple effects within rows)								
								
Number of families	1							
Number of comparisons per family	618							
Alpha	0.05							
								
Šídák's multiple comparisons test	Predicted (LS) mean diff.	95.00% CI of diff.	Below threshold?	Summary	Adjusted P Value			
								
  P27747								
    Group A vs. Group B	15.08	13.92	1.162	0.8509	4	4	1.366	1442
    Group A vs. Group C	15.08	13.26	1.823	1.042	4	2	1.749	1442
    Group B vs. Group C	13.92	13.26	0.6607	1.042	4	2	0.6340	1442
								
  Q0K7R9								
    Group A vs. Group B	14.09	13.81	0.2811	0.8509	4	4	0.3304	1442
    Group A vs. Group C	14.09	13.03	1.062	1.042	4	2	1.019	1442
    Group B vs. Group C	13.81	13.03	0.7804	1.042	4	2	0.7489	1442
								
  Q0K7S1								
    Group A vs. Group B	14.74	12.86	1.878	0.8509	4	4	2.208	1442
    Group A vs. Group C	14.74	13.86	0.8768	1.042	4	2	0.8413	1442
    Group B vs. Group C	12.86	13.86	-1.002	1.042	4	2	0.9612	1442
								
  Q0K7S3								
    Group A vs. Group B	15.06	13.58	1.479	0.8509	4	4	1.738	1442
    Group A vs. Group C	15.06	14.84	0.2244	1.042	4	2	0.2153	1442
    Group B vs. Group C	13.58	14.84	-1.255	1.042	4	2	1.204	1442
								
  Q0K7X7								
    Group A vs. Group B	15.49	12.30	3.190	0.8509	4	4	3.749	1442
    Group A vs. Group C	15.49	13.15	2.341	1.042	4	2	2.247	1442
    Group B vs. Group C	12.30	13.15	-0.8488	1.042	4	2	0.8145	1442
								
  Q0K7Y6								
    Group A vs. Group B	15.28	13.07	2.202	0.8509	4	4	2.588	1442
    Group A vs. Group C	15.28	12.24	3.040	1.042	4	2	2.917	1442
    Group B vs. Group C	13.07	12.24	0.8383	1.042	4	2	0.8044	1442
								
  Q0K800								
    Group A vs. Group B	13.03	12.76	0.2642	0.8509	4	4	0.3105	1442
    Group A vs. Group C	13.03	11.11	1.921	1.042	4	2	1.843	1442
    Group B vs. Group C	12.76	11.11	1.657	1.042	4	2	1.590	1442
								
  Q0K8A0								
    Group A vs. Group B	13.89	13.83	0.05937	0.8509	4	4	0.06977	1442
    Group A vs. Group C	13.89	12.40	1.493	1.042	4	2	1.433	1442
    Group B vs. Group C	13.83	12.40	1.434	1.042	4	2	1.376	1442
								
  Q0K8A1								
    Group A vs. Group B	16.67	13.47	3.198	0.8509	4	4	3.758	1442
    Group A vs. Group C	16.67	12.95	3.720	1.042	4	2	3.569	1442
    Group B vs. Group C	13.47	12.95	0.5217	1.042	4	2	0.5006	1442
								
  Q0K8C6								
    Group A vs. Group B	16.08	15.09	0.9900	0.8509	4	4	1.164	1442
    Group A vs. Group C	16.08	12.55	3.531	1.042	4	2	3.388	1442
    Group B vs. Group C	15.09	12.55	2.541	1.042	4	2	2.438	1442
								
  Q0K8N2								
    Group A vs. Group B	15.05	13.62	1.429	0.8509	4	4	1.679	1442
    Group A vs. Group C	15.05	11.93	3.117	1.042	4	2	2.991	1442
    Group B vs. Group C	13.62	11.93	1.688	1.042	4	2	1.620	1442
								
  Q0K8S9								
    Group A vs. Group B	18.42	18.95	-0.5332	0.8509	4	4	0.6266	1442
    Group A vs. Group C	18.42	18.62	-0.2072	1.042	4	2	0.1989	1442
    Group B vs. Group C	18.95	18.62	0.3260	1.042	4	2	0.3128	1442
								
  Q0K8T0								
    Group A vs. Group B	17.28	13.52	3.759	0.8509	4	4	4.418	1442
    Group A vs. Group C	17.28	12.77	4.508	1.042	4	2	4.326	1442
    Group B vs. Group C	13.52	12.77	0.7494	1.042	4	2	0.7191	1442
								
  Q0K8X5								
    Group A vs. Group B	16.92	15.45	1.473	0.8509	4	4	1.731	1442
    Group A vs. Group C	16.92	12.61	4.314	1.042	4	2	4.140	1442
    Group B vs. Group C	15.45	12.61	2.841	1.042	4	2	2.726	1442
								
  Q0K907								
    Group A vs. Group B	16.41	14.57	1.845	0.8509	4	4	2.168	1442
    Group A vs. Group C	16.41	11.85	4.559	1.042	4	2	4.374	1442
    Group B vs. Group C	14.57	11.85	2.714	1.042	4	2	2.604	1442
								
  Q0K920								
    Group A vs. Group B	16.97	14.17	2.803	0.8509	4	4	3.294	1442
    Group A vs. Group C	16.97	12.26	4.713	1.042	4	2	4.522	1442
    Group B vs. Group C	14.17	12.26	1.910	1.042	4	2	1.833	1442
								
  Q0K921								
    Group A vs. Group B	15.60	14.57	1.038	0.8509	4	4	1.220	1442
    Group A vs. Group C	15.60	12.37	3.233	1.042	4	2	3.102	1442
    Group B vs. Group C	14.57	12.37	2.195	1.042	4	2	2.106	1442
								
  Q0K928								
    Group A vs. Group B	14.24	13.74	0.4944	0.8509	4	4	0.5811	1442
    Group A vs. Group C	14.24	13.80	0.4384	1.042	4	2	0.4207	1442
    Group B vs. Group C	13.74	13.80	-0.05600	1.042	4	2	0.05374	1442
								
  Q0K957								
    Group A vs. Group B	13.78	12.80	0.9845	0.8509	4	4	1.157	1442
    Group A vs. Group C	13.78	13.14	0.6469	1.042	4	2	0.6207	1442
    Group B vs. Group C	12.80	13.14	-0.3376	1.042	4	2	0.3240	1442
								
  Q0K9G9								
    Group A vs. Group B	13.51	14.68	-1.174	0.8509	4	4	1.379	1442
    Group A vs. Group C	13.51	13.64	-0.1371	1.042	4	2	0.1315	1442
    Group B vs. Group C	14.68	13.64	1.037	1.042	4	2	0.9947	1442
								
  Q0K9H4								
    Group A vs. Group B	13.31	14.03	-0.7167	0.8509	4	4	0.8423	1442
    Group A vs. Group C	13.31	14.40	-1.090	1.042	4	2	1.046	1442
    Group B vs. Group C	14.03	14.40	-0.3737	1.042	4	2	0.3586	1442
								
  Q0K9J0								
    Group A vs. Group B	15.01	14.35	0.6581	0.8509	4	4	0.7734	1442
    Group A vs. Group C	15.01	12.92	2.085	1.042	4	2	2.001	1442
    Group B vs. Group C	14.35	12.92	1.427	1.042	4	2	1.369	1442
								
  Q0K9N3								
    Group A vs. Group B	15.20	14.69	0.5091	0.8509	4	4	0.5983	1442
    Group A vs. Group C	15.20	12.54	2.659	1.042	4	2	2.551	1442
    Group B vs. Group C	14.69	12.54	2.149	1.042	4	2	2.063	1442
								
  Q0K9Q3								
    Group A vs. Group B	15.14	16.15	-1.008	0.8509	4	4	1.184	1442
    Group A vs. Group C	15.14	13.87	1.274	1.042	4	2	1.223	1442
    Group B vs. Group C	16.15	13.87	2.282	1.042	4	2	2.190	1442
								
  Q0K9S7								
    Group A vs. Group B	14.57	13.86	0.7102	0.8509	4	4	0.8347	1442
    Group A vs. Group C	14.57	13.84	0.7318	1.042	4	2	0.7022	1442
    Group B vs. Group C	13.86	13.84	0.02156	1.042	4	2	0.02068	1442
								
  Q0K9T5								
    Group A vs. Group B	14.28	13.20	1.077	0.8509	4	4	1.265	1442
    Group A vs. Group C	14.28	11.20	3.074	1.042	4	2	2.950	1442
    Group B vs. Group C	13.20	11.20	1.997	1.042	4	2	1.917	1442
								
  Q0K9V5								
    Group A vs. Group B	16.36	15.46	0.9061	0.8509	4	4	1.065	1442
    Group A vs. Group C	16.36	14.68	1.679	1.042	4	2	1.611	1442
    Group B vs. Group C	15.46	14.68	0.7728	1.042	4	2	0.7415	1442
								
  Q0K9X0								
    Group A vs. Group B	17.25	17.88	-0.6387	0.8509	4	4	0.7507	1442
    Group A vs. Group C	17.25	16.71	0.5312	1.042	4	2	0.5097	1442
    Group B vs. Group C	17.88	16.71	1.170	1.042	4	2	1.123	1442
								
  Q0K9Y6								
    Group A vs. Group B	16.08	14.65	1.429	0.8509	4	4	1.679	1442
    Group A vs. Group C	16.08	13.34	2.738	1.042	4	2	2.627	1442
    Group B vs. Group C	14.65	13.34	1.309	1.042	4	2	1.256	1442
								
  Q0K9Z0								
    Group A vs. Group B	14.68	14.32	0.3582	0.8509	4	4	0.4210	1442
    Group A vs. Group C	14.68	13.30	1.379	1.042	4	2	1.323	1442
    Group B vs. Group C	14.32	13.30	1.021	1.042	4	2	0.9793	1442
								
  Q0KA90								
    Group A vs. Group B	16.37	16.26	0.1148	0.8509	4	4	0.1350	1442
    Group A vs. Group C	16.37	15.61	0.7632	1.042	4	2	0.7323	1442
    Group B vs. Group C	16.26	15.61	0.6484	1.042	4	2	0.6222	1442
								
  Q0KAA5								
    Group A vs. Group B	14.59	14.37	0.2251	0.8509	4	4	0.2645	1442
    Group A vs. Group C	14.59	12.48	2.115	1.042	4	2	2.029	1442
    Group B vs. Group C	14.37	12.48	1.890	1.042	4	2	1.813	1442
								
  Q0KAD4								
    Group A vs. Group B	15.35	15.36	-0.01823	0.8509	4	4	0.02142	1442
    Group A vs. Group C	15.35	15.50	-0.1538	1.042	4	2	0.1476	1442
    Group B vs. Group C	15.36	15.50	-0.1356	1.042	4	2	0.1301	1442
								
  Q0KAE0								
    Group A vs. Group B	15.88	14.06	1.825	0.8509	4	4	2.145	1442
    Group A vs. Group C	15.88	14.59	1.295	1.042	4	2	1.242	1442
    Group B vs. Group C	14.06	14.59	-0.5305	1.042	4	2	0.5091	1442
								
  Q0KAH0								
    Group A vs. Group B	16.66	15.57	1.088	0.8509	4	4	1.278	1442
    Group A vs. Group C	16.66	12.34	4.319	1.042	4	2	4.145	1442
    Group B vs. Group C	15.57	12.34	3.232	1.042	4	2	3.101	1442
								
  Q0KAR7								
    Group A vs. Group B	15.74	14.67	1.072	0.8509	4	4	1.260	1442
    Group A vs. Group C	15.74	13.29	2.449	1.042	4	2	2.350	1442
    Group B vs. Group C	14.67	13.29	1.377	1.042	4	2	1.321	1442
								
  Q0KAY1								
    Group A vs. Group B	16.00	13.35	2.642	0.8509	4	4	3.104	1442
    Group A vs. Group C	16.00	14.20	1.792	1.042	4	2	1.720	1442
    Group B vs. Group C	13.35	14.20	-0.8492	1.042	4	2	0.8149	1442
								
  Q0KB25								
    Group A vs. Group B	12.95	13.08	-0.1294	0.8509	4	4	0.1521	1442
    Group A vs. Group C	12.95	13.40	-0.4529	1.042	4	2	0.4346	1442
    Group B vs. Group C	13.08	13.40	-0.3235	1.042	4	2	0.3104	1442
								
  Q0KB27								
    Group A vs. Group B	13.74	13.41	0.3256	0.8509	4	4	0.3827	1442
    Group A vs. Group C	13.74	12.62	1.116	1.042	4	2	1.071	1442
    Group B vs. Group C	13.41	12.62	0.7903	1.042	4	2	0.7584	1442
								
  Q0KB42								
    Group A vs. Group B	14.63	14.91	-0.2860	0.8509	4	4	0.3361	1442
    Group A vs. Group C	14.63	13.97	0.6542	1.042	4	2	0.6278	1442
    Group B vs. Group C	14.91	13.97	0.9402	1.042	4	2	0.9022	1442
								
  Q0KB66								
    Group A vs. Group B	13.81	12.37	1.439	0.8509	4	4	1.691	1442
    Group A vs. Group C	13.81	12.38	1.430	1.042	4	2	1.373	1442
    Group B vs. Group C	12.37	12.38	-0.008671	1.042	4	2	0.008320	1442
								
  Q0KBB1								
    Group A vs. Group B	14.23	15.04	-0.8151	0.8509	4	4	0.9579	1442
    Group A vs. Group C	14.23	12.61	1.612	1.042	4	2	1.546	1442
    Group B vs. Group C	15.04	12.61	2.427	1.042	4	2	2.328	1442
								
  Q0KBG5								
    Group A vs. Group B	16.30	12.63	3.674	0.8509	4	4	4.318	1442
    Group A vs. Group C	16.30	13.17	3.127	1.042	4	2	3.001	1442
    Group B vs. Group C	12.63	13.17	-0.5465	1.042	4	2	0.5244	1442
								
  Q0KBG6								
    Group A vs. Group B	17.48	15.58	1.898	0.8509	4	4	2.231	1442
    Group A vs. Group C	17.48	14.01	3.471	1.042	4	2	3.331	1442
    Group B vs. Group C	15.58	14.01	1.573	1.042	4	2	1.509	1442
								
  Q0KBR8								
    Group A vs. Group B	17.58	15.21	2.373	0.8509	4	4	2.789	1442
    Group A vs. Group C	17.58	15.76	1.822	1.042	4	2	1.749	1442
    Group B vs. Group C	15.21	15.76	-0.5508	1.042	4	2	0.5285	1442
								
  Q0KBR9								
    Group A vs. Group B	14.08	12.65	1.424	0.8509	4	4	1.674	1442
    Group A vs. Group C	14.08	13.54	0.5361	1.042	4	2	0.5144	1442
    Group B vs. Group C	12.65	13.54	-0.8882	1.042	4	2	0.8523	1442
								
  Q0KBU2								
    Group A vs. Group B	14.32	13.40	0.9206	0.8509	4	4	1.082	1442
    Group A vs. Group C	14.32	13.15	1.170	1.042	4	2	1.123	1442
    Group B vs. Group C	13.40	13.15	0.2494	1.042	4	2	0.2393	1442
								
  Q0KBU9								
    Group A vs. Group B	14.06	13.79	0.2664	0.8509	4	4	0.3130	1442
    Group A vs. Group C	14.06	12.43	1.632	1.042	4	2	1.566	1442
    Group B vs. Group C	13.79	12.43	1.365	1.042	4	2	1.310	1442
								
  Q0KBW2								
    Group A vs. Group B	15.52	15.05	0.4762	0.8509	4	4	0.5597	1442
    Group A vs. Group C	15.52	14.85	0.6719	1.042	4	2	0.6447	1442
    Group B vs. Group C	15.05	14.85	0.1956	1.042	4	2	0.1877	1442
								
  Q0KBX1								
    Group A vs. Group B	14.16	14.77	-0.6070	0.8509	4	4	0.7133	1442
    Group A vs. Group C	14.16	15.58	-1.423	1.042	4	2	1.366	1442
    Group B vs. Group C	14.77	15.58	-0.8164	1.042	4	2	0.7833	1442
								
  Q0KBY4								
    Group A vs. Group B	15.26	14.34	0.9265	0.8509	4	4	1.089	1442
    Group A vs. Group C	15.26	13.36	1.898	1.042	4	2	1.821	1442
    Group B vs. Group C	14.34	13.36	0.9717	1.042	4	2	0.9324	1442
								
  Q0KC68								
    Group A vs. Group B	15.03	13.49	1.538	0.8509	4	4	1.807	1442
    Group A vs. Group C	15.03	14.29	0.7374	1.042	4	2	0.7075	1442
    Group B vs. Group C	13.49	14.29	-0.8003	1.042	4	2	0.7679	1442
								
  Q0KC91								
    Group A vs. Group B	14.08	13.15	0.9290	0.8509	4	4	1.092	1442
    Group A vs. Group C	14.08	13.79	0.2882	1.042	4	2	0.2765	1442
    Group B vs. Group C	13.15	13.79	-0.6408	1.042	4	2	0.6149	1442
								
  Q0KCB3								
    Group A vs. Group B	14.50	15.22	-0.7195	0.8509	4	4	0.8456	1442
    Group A vs. Group C	14.50	12.52	1.982	1.042	4	2	1.902	1442
    Group B vs. Group C	15.22	12.52	2.701	1.042	4	2	2.592	1442
								
  Q0KCF3								
    Group A vs. Group B	15.41	13.11	2.301	0.8509	4	4	2.704	1442
    Group A vs. Group C	15.41	12.71	2.705	1.042	4	2	2.595	1442
    Group B vs. Group C	13.11	12.71	0.4036	1.042	4	2	0.3872	1442
								
  Q0KCF5								
    Group A vs. Group B	14.35	12.67	1.678	0.8509	4	4	1.972	1442
    Group A vs. Group C	14.35	13.92	0.4272	1.042	4	2	0.4099	1442
    Group B vs. Group C	12.67	13.92	-1.251	1.042	4	2	1.201	1442
								
  Q0KCF8								
    Group A vs. Group B	16.00	15.06	0.9347	0.8509	4	4	1.099	1442
    Group A vs. Group C	16.00	14.86	1.136	1.042	4	2	1.090	1442
    Group B vs. Group C	15.06	14.86	0.2010	1.042	4	2	0.1929	1442
								
  Q0KCI6								
    Group A vs. Group B	14.84	13.06	1.779	0.8509	4	4	2.091	1442
    Group A vs. Group C	14.84	11.67	3.167	1.042	4	2	3.039	1442
    Group B vs. Group C	13.06	11.67	1.388	1.042	4	2	1.332	1442
								
  Q0KD21								
    Group A vs. Group B	15.71	15.98	-0.2721	0.8509	4	4	0.3198	1442
    Group A vs. Group C	15.71	12.77	2.938	1.042	4	2	2.819	1442
    Group B vs. Group C	15.98	12.77	3.210	1.042	4	2	3.081	1442
								
  Q0KD34								
    Group A vs. Group B	14.43	14.58	-0.1489	0.8509	4	4	0.1750	1442
    Group A vs. Group C	14.43	12.53	1.895	1.042	4	2	1.818	1442
    Group B vs. Group C	14.58	12.53	2.044	1.042	4	2	1.961	1442
								
  Q0KD77								
    Group A vs. Group B	16.20	15.38	0.8176	0.8509	4	4	0.9608	1442
    Group A vs. Group C	16.20	14.45	1.752	1.042	4	2	1.681	1442
    Group B vs. Group C	15.38	14.45	0.9347	1.042	4	2	0.8969	1442
								
  Q0KDF6								
    Group A vs. Group B	16.79	15.57	1.221	0.8509	4	4	1.435	1442
    Group A vs. Group C	16.79	15.73	1.058	1.042	4	2	1.016	1442
    Group B vs. Group C	15.57	15.73	-0.1629	1.042	4	2	0.1563	1442
								
  Q0KDG1								
    Group A vs. Group B	13.81	15.67	-1.859	0.8509	4	4	2.184	1442
    Group A vs. Group C	13.81	13.25	0.5619	1.042	4	2	0.5392	1442
    Group B vs. Group C	15.67	13.25	2.421	1.042	4	2	2.323	1442
								
  Q0KDN5								
    Group A vs. Group B	16.68	14.88	1.806	0.8509	4	4	2.123	1442
    Group A vs. Group C	16.68	13.53	3.150	1.042	4	2	3.023	1442
    Group B vs. Group C	14.88	13.53	1.344	1.042	4	2	1.290	1442
								
  Q0KDP4								
    Group A vs. Group B	15.39	13.18	2.206	0.8509	4	4	2.592	1442
    Group A vs. Group C	15.39	13.41	1.980	1.042	4	2	1.899	1442
    Group B vs. Group C	13.18	13.41	-0.2263	1.042	4	2	0.2171	1442
								
  Q0KDR9								
    Group A vs. Group B	16.10	13.94	2.156	0.8509	4	4	2.534	1442
    Group A vs. Group C	16.10	15.16	0.9313	1.042	4	2	0.8936	1442
    Group B vs. Group C	13.94	15.16	-1.225	1.042	4	2	1.176	1442
								
  Q0KDS8								
    Group A vs. Group B	15.72	14.58	1.136	0.8509	4	4	1.336	1442
    Group A vs. Group C	15.72	16.59	-0.8724	1.042	4	2	0.8371	1442
    Group B vs. Group C	14.58	16.59	-2.009	1.042	4	2	1.928	1442
								
  Q0KE17								
    Group A vs. Group B	16.52	16.33	0.1817	0.8509	4	4	0.2135	1442
    Group A vs. Group C	16.52	14.81	1.702	1.042	4	2	1.633	1442
    Group B vs. Group C	16.33	14.81	1.521	1.042	4	2	1.459	1442
								
  Q0KE46								
    Group A vs. Group B	15.21	14.79	0.4173	0.8509	4	4	0.4905	1442
    Group A vs. Group C	15.21	11.78	3.430	1.042	4	2	3.291	1442
    Group B vs. Group C	14.79	11.78	3.013	1.042	4	2	2.891	1442
								
  Q0KE73								
    Group A vs. Group B	14.33	15.05	-0.7231	0.8509	4	4	0.8498	1442
    Group A vs. Group C	14.33	13.93	0.4016	1.042	4	2	0.3853	1442
    Group B vs. Group C	15.05	13.93	1.125	1.042	4	2	1.079	1442
								
  Q0KE97								
    Group A vs. Group B	13.88	13.14	0.7391	0.8509	4	4	0.8686	1442
    Group A vs. Group C	13.88	13.63	0.2496	1.042	4	2	0.2395	1442
    Group B vs. Group C	13.14	13.63	-0.4895	1.042	4	2	0.4697	1442
								
  Q0KEB7								
    Group A vs. Group B	16.24	15.90	0.3421	0.8509	4	4	0.4020	1442
    Group A vs. Group C	16.24	13.43	2.812	1.042	4	2	2.699	1442
    Group B vs. Group C	15.90	13.43	2.470	1.042	4	2	2.370	1442
								
  Q0KEB9								
    Group A vs. Group B	13.72	13.18	0.5408	0.8509	4	4	0.6356	1442
    Group A vs. Group C	13.72	14.06	-0.3331	1.042	4	2	0.3196	1442
    Group B vs. Group C	13.18	14.06	-0.8739	1.042	4	2	0.8386	1442
								
  Q0KEF1								
    Group A vs. Group B	15.67	14.45	1.219	0.8509	4	4	1.432	1442
    Group A vs. Group C	15.67	11.35	4.323	1.042	4	2	4.148	1442
    Group B vs. Group C	14.45	11.35	3.104	1.042	4	2	2.978	1442
								
  Q0KEM5								
    Group A vs. Group B	15.35	15.22	0.1279	0.8509	4	4	0.1503	1442
    Group A vs. Group C	15.35	15.80	-0.4479	1.042	4	2	0.4298	1442
    Group B vs. Group C	15.22	15.80	-0.5758	1.042	4	2	0.5526	1442
								
  Q0KES1								
    Group A vs. Group B	14.44	15.65	-1.213	0.8509	4	4	1.426	1442
    Group A vs. Group C	14.44	15.86	-1.418	1.042	4	2	1.361	1442
    Group B vs. Group C	15.65	15.86	-0.2051	1.042	4	2	0.1968	1442
								
  Q0KEX9								
    Group A vs. Group B	15.48	12.11	3.371	0.8509	4	4	3.961	1442
    Group A vs. Group C	15.48	12.80	2.682	1.042	4	2	2.574	1442
    Group B vs. Group C	12.11	12.80	-0.6883	1.042	4	2	0.6604	1442
								
  Q0KEY0								
    Group A vs. Group B	16.59	12.68	3.919	0.8509	4	4	4.606	1442
    Group A vs. Group C	16.59	11.21	5.381	1.042	4	2	5.164	1442
    Group B vs. Group C	12.68	11.21	1.462	1.042	4	2	1.403	1442
								
  Q0KEY4								
    Group A vs. Group B	16.02	12.63	3.390	0.8509	4	4	3.984	1442
    Group A vs. Group C	16.02	12.50	3.514	1.042	4	2	3.372	1442
    Group B vs. Group C	12.63	12.50	0.1246	1.042	4	2	0.1196	1442
								
  Q0KEZ0								
    Group A vs. Group B	17.19	17.01	0.1830	0.8509	4	4	0.2151	1442
    Group A vs. Group C	17.19	14.18	3.019	1.042	4	2	2.897	1442
    Group B vs. Group C	17.01	14.18	2.836	1.042	4	2	2.721	1442
								
  Q0KEZ2								
    Group A vs. Group B	14.76	13.78	0.9808	0.8509	4	4	1.153	1442
    Group A vs. Group C	14.76	14.33	0.4338	1.042	4	2	0.4162	1442
    Group B vs. Group C	13.78	14.33	-0.5470	1.042	4	2	0.5249	1442
								
  Q0KF01								
    Group A vs. Group B	17.65	15.51	2.140	0.8509	4	4	2.515	1442
    Group A vs. Group C	17.65	13.02	4.628	1.042	4	2	4.441	1442
    Group B vs. Group C	15.51	13.02	2.488	1.042	4	2	2.388	1442
								
  Q0KF27								
    Group A vs. Group B	16.47	14.79	1.687	0.8509	4	4	1.982	1442
    Group A vs. Group C	16.47	15.53	0.9453	1.042	4	2	0.9071	1442
    Group B vs. Group C	14.79	15.53	-0.7414	1.042	4	2	0.7114	1442
								
  Q0KFE5								
    Group A vs. Group B	14.64	14.22	0.4185	0.8509	4	4	0.4919	1442
    Group A vs. Group C	14.64	13.36	1.284	1.042	4	2	1.233	1442
    Group B vs. Group C	14.22	13.36	0.8659	1.042	4	2	0.8309	1442
								
  Q0KFE7								
    Group A vs. Group B	14.73	14.03	0.7031	0.8509	4	4	0.8263	1442
    Group A vs. Group C	14.73	13.74	0.9856	1.042	4	2	0.9457	1442
    Group B vs. Group C	14.03	13.74	0.2825	1.042	4	2	0.2711	1442
								
  Q0KFG0								
    Group A vs. Group B	12.94	15.07	-2.134	0.8509	4	4	2.507	1442
    Group A vs. Group C	12.94	13.23	-0.2947	1.042	4	2	0.2827	1442
    Group B vs. Group C	15.07	13.23	1.839	1.042	4	2	1.765	1442
								
  Q0KFH7								
    Group A vs. Group B	15.68	16.00	-0.3237	0.8509	4	4	0.3804	1442
    Group A vs. Group C	15.68	14.97	0.7132	1.042	4	2	0.6844	1442
    Group B vs. Group C	16.00	14.97	1.037	1.042	4	2	0.9950	1442
								
  Q0KFN0								
    Group A vs. Group B	15.80	15.03	0.7674	0.8509	4	4	0.9019	1442
    Group A vs. Group C	15.80	14.39	1.404	1.042	4	2	1.348	1442
    Group B vs. Group C	15.03	14.39	0.6370	1.042	4	2	0.6112	1442
								
  Q0KFN7								
    Group A vs. Group B	16.19	12.95	3.245	0.8509	4	4	3.813	1442
    Group A vs. Group C	16.19	10.97	5.222	1.042	4	2	5.010	1442
    Group B vs. Group C	12.95	10.97	1.977	1.042	4	2	1.897	1442
								
  Q0KFP4;Q0KFQ3								
    Group A vs. Group B	15.41	15.02	0.3895	0.8509	4	4	0.4578	1442
    Group A vs. Group C	15.41	11.19	4.217	1.042	4	2	4.046	1442
    Group B vs. Group C	15.02	11.19	3.827	1.042	4	2	3.672	1442
								
  Q0KFQ1								
    Group A vs. Group B	17.73	17.15	0.5815	0.8509	4	4	0.6834	1442
    Group A vs. Group C	17.73	16.80	0.9337	1.042	4	2	0.8960	1442
    Group B vs. Group C	17.15	16.80	0.3522	1.042	4	2	0.3380	1442
								
  Q7WXK3								
    Group A vs. Group B	12.85	18.91	-6.060	0.8509	4	4	7.122	1442
    Group A vs. Group C	12.85	18.83	-5.981	1.042	4	2	5.739	1442
    Group B vs. Group C	18.91	18.83	0.07850	1.042	4	2	0.07532	1442
								
  Q8KLU8								
    Group A vs. Group B	15.38	13.66	1.717	0.8509	4	4	2.018	1442
    Group A vs. Group C	15.38	13.49	1.892	1.042	4	2	1.815	1442
    Group B vs. Group C	13.66	13.49	0.1750	1.042	4	2	0.1679	1442
