								
Within each row, compare columns (simple effects within rows)								
								
Number of families	1							
Number of comparisons per family	618							
Alpha	0.05							
								
Šídák's multiple comparisons test	Predicted (LS) mean diff.	95.00% CI of diff.	Below threshold?	Summary	Adjusted P Value			
								
  P27747								
    Group A vs. Group C	0.7769	-3.336 to 4.890	No	ns	>0.9999			
    Group B vs. Group C	0.09670	-4.016 to 4.210	No	ns	>0.9999			
								
  Q0K2I3								
    Group A vs. Group B	0.0004849	-3.358 to 3.359	No	ns	>0.9999			
    Group A vs. Group C	2.986	-1.127 to 7.099	No	ns	0.9272			
    Group B vs. Group C	2.985	-1.128 to 7.098	No	ns	0.9275			
								
  Q0K2J7								
    Group A vs. Group B	0.7035	-2.655 to 4.062	No	ns	>0.9999			
    Group A vs. Group C	0.7250	-3.388 to 4.838	No	ns	>0.9999			
    Group B vs. Group C	0.02146	-4.092 to 4.135	No	ns	>0.9999			
								
  Q0K2M1								
    Group A vs. Group B	-0.2180	-3.576 to 3.140	No	ns	>0.9999			
    Group A vs. Group C	4.090	-0.02290 to 8.203	No	ns	0.0546			
    Group B vs. Group C	4.308	0.1950 to 8.421	Yes	*	0.0230			
								
  Q0K2N8								
    Group A vs. Group B	2.632	-0.7267 to 5.990	No	ns	0.7135			
    Group A vs. Group C	2.201	-1.912 to 6.314	No	ns	>0.9999			
    Group B vs. Group C	-0.4307	-4.544 to 3.682	No	ns	>0.9999			
								
  Q0K2Q6								
    Group A vs. Group B	0.5692	-2.789 to 3.928	No	ns	>0.9999			
    Group A vs. Group C	0.7564	-3.357 to 4.870	No	ns	>0.9999			
    Group B vs. Group C	0.1872	-3.926 to 4.300	No	ns	>0.9999			
								
  Q0K2Q7								
    Group A vs. Group B	2.669	-0.6896 to 6.027	No	ns	0.6601			
    Group A vs. Group C	1.148	-2.965 to 5.261	No	ns	>0.9999			
    Group B vs. Group C	-1.521	-5.634 to 2.592	No	ns	>0.9999			
								
  Q0K2S4								
    Group A vs. Group B	0.6862	-2.672 to 4.045	No	ns	>0.9999			
    Group A vs. Group C	0.9002	-3.213 to 5.013	No	ns	>0.9999			
